run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
rate-opaque-64-126547-r1,opaque,rate,64,8,,126547,0.126551,0.1296,892.00,1265.00,1339.00,2820.00,0,0,0,631039,0:158156;1:237241;2:237242
rate-opaque-64-126547-r2,opaque,rate,64,8,,126547,0.126546,0.1296,885.00,1257.00,1323.00,2972.00,0,0,0,631023,0:237233;1:237238;2:158152
rate-opaque-64-151857-r1,opaque,rate,64,8,,151857,0.151850,0.1555,889.00,1252.00,1314.00,1451.00,0,0,0,757533,0:284675;1:189780;2:284678
rate-opaque-64-151857-r2,opaque,rate,64,8,,151857,0.151855,0.1555,892.00,1259.00,1332.00,2424.00,0,0,0,757557,0:189804;1:284671;2:284682
knee-opaque-64-5849568-r1,opaque,knee,64,8,,5849568,5.857024,5.9976,426.00,601.00,1001.00,31513.00,0,0,0,29243121,0:10966731;1:10966732;2:7311258
knee-opaque-64-5849568-r2,opaque,knee,64,8,,5849568,5.853762,5.9943,428.00,606.00,1061.00,32519.00,0,4268,0,29238858,0:10962486;1:7311138;2:10966834
closed-opaque-64-c32-r1,opaque,closed,64,8,32,,0.214508,0.2197,1247.00,1346.00,1449.00,3148.00,0,0,0,1070974,0:257932;1:406808;2:407834
closed-opaque-64-c1-r1,opaque,closed,64,1,1,,0.008076,0.0083,122.00,131.00,143.00,286.00,0,0,0,40169,0:40369
closed-opaque-64-c32-r2,opaque,closed,64,8,32,,0.216818,0.2220,1244.00,1299.00,1390.00,1533.00,0,0,0,1082491,0:270029;1:406679;2:407383
closed-opaque-64-c1-r2,opaque,closed,64,1,1,,0.007854,0.0080,123.00,134.00,276.00,411.00,0,0,0,39071,0:39271
rate-opaque-1024-42182-r1,opaque,rate,1024,8,,42182,0.042179,0.6911,343.00,1121.00,1305.00,1451.00,0,0,0,209293,0:79084;1:52723;2:79086
rate-opaque-1024-42182-r2,opaque,rate,1024,8,,42182,0.042181,0.6911,186.00,1096.00,1291.00,1560.00,0,0,0,209301,0:52726;1:79087;2:79088
rate-opaque-1024-84365-r1,opaque,rate,1024,8,,84365,0.084360,1.3822,806.00,1274.00,1326.00,1438.00,0,0,0,420179,0:158162;1:158166;2:105451
rate-opaque-1024-84365-r2,opaque,rate,1024,8,,84365,0.084359,1.3821,757.00,1252.00,1327.00,1744.00,0,0,0,420181,0:158168;1:105448;2:158165
rate-opaque-1024-126548-r1,opaque,rate,1024,8,,126548,0.126548,2.0734,520.00,913.00,1073.00,1337.00,0,0,0,631092,0:158173;1:237255;2:237264
rate-opaque-1024-126548-r2,opaque,rate,1024,8,,126548,0.126546,2.0733,513.00,907.00,1065.00,1116.00,0,0,0,631086,0:237258;1:237254;2:158174
rate-opaque-1024-151857-r1,opaque,rate,1024,8,,151857,0.151860,2.4881,481.00,758.00,897.00,1436.00,0,0,0,757633,0:284712;1:189809;2:284712
rate-opaque-1024-151857-r2,opaque,rate,1024,8,,151857,0.151860,2.4881,480.00,752.00,885.00,966.00,0,0,0,757628,0:189813;1:284707;2:284708
knee-opaque-1024-768855-r1,opaque,knee,1024,8,,768855,0.768852,12.5969,227.00,383.00,856.00,1307.00,0,0,0,3842496,0:1441528;1:1441537;2:961031
knee-opaque-1024-768855-r2,opaque,knee,1024,8,,768855,0.768856,12.5969,221.00,351.00,746.00,1789.00,0,0,0,3842518,0:1441535;1:961035;2:1441548
closed-opaque-1024-c32-r1,opaque,closed,1024,8,32,,1.347027,22.0697,189.00,197.00,318.00,404.00,0,0,0,6732240,0:1653752;1:2542224;2:2537864
closed-opaque-1024-c1-r1,opaque,closed,1024,1,1,,0.007744,0.1269,126.00,136.00,227.00,347.00,0,0,0,38502,0:38702
closed-opaque-1024-c32-r2,opaque,closed,1024,8,32,,1.341155,21.9735,189.00,198.00,304.00,417.00,0,0,0,6704136,0:1669976;1:2534144;2:2501616
closed-opaque-1024-c1-r2,opaque,closed,1024,1,1,,0.007774,0.1274,126.00,135.00,221.00,378.00,0,0,0,38649,0:38849
rate-opaque-8192-28124-r1,opaque,rate,8192,8,,28124,0.028122,3.6860,205.00,377.00,427.00,1585.00,0,0,0,139016,0:35154;1:52731;2:52731
rate-opaque-8192-28124-r2,opaque,rate,8192,8,,28124,0.028123,3.6861,204.00,375.00,419.00,572.00,0,0,0,139016,0:52731;1:52731;2:35154
rate-opaque-8192-56248-r1,opaque,rate,8192,8,,56248,0.056246,7.3723,206.00,323.00,790.00,1433.00,0,0,0,279632,0:105462;1:70308;2:105462
rate-opaque-8192-56248-r2,opaque,rate,8192,8,,56248,0.056246,7.3723,208.00,308.00,610.00,1910.00,0,0,0,279632,0:70308;1:105462;2:105462
rate-opaque-8192-84372-r1,opaque,rate,8192,8,,84372,0.084371,11.0586,171.00,210.00,294.00,1135.00,0,0,0,420250,0:158195;1:158193;2:105462
rate-opaque-8192-84372-r2,opaque,rate,8192,8,,84372,0.084370,11.0585,171.00,210.00,294.00,867.00,0,0,0,420247,0:158192;1:105462;2:158193
rate-opaque-8192-101246-r1,opaque,rate,8192,8,,101246,0.101243,13.2701,161.00,325.00,965.00,2150.00,0,0,0,504615,0:126556;1:189833;2:189826
rate-opaque-8192-101246-r2,opaque,rate,8192,8,,101246,0.101246,13.2705,157.00,223.00,546.00,3070.00,0,0,0,504618,0:189832;1:189832;2:126554
knee-opaque-8192-101248-r1,opaque,knee,8192,8,,101248,0.101246,13.2706,157.00,209.00,259.00,723.00,0,0,0,504631,0:189836;1:126558;2:189837
knee-opaque-8192-101248-r2,opaque,knee,8192,8,,101248,0.101247,13.2706,157.00,210.00,256.00,504.00,0,0,0,504628,0:126554;1:189837;2:189837
closed-opaque-8192-c32-r1,opaque,closed,8192,8,32,,0.229283,30.0526,565.00,1074.00,1692.00,33118.00,0,0,0,1145716,0:319133;1:612138;2:216045
closed-opaque-8192-c1-r1,opaque,closed,8192,1,1,,0.005395,0.7071,155.00,375.00,522.00,616.00,0,0,0,26755,2:26955
closed-opaque-8192-c32-r2,opaque,closed,8192,8,32,,0.229059,30.0232,550.00,1626.00,7369.00,56001.00,0,0,0,1144380,0:627361;1:469995;2:48624
closed-opaque-8192-c1-r2,opaque,closed,8192,1,1,,0.005373,0.7042,155.00,380.00,527.00,643.00,0,0,0,26634,2:26834
rate-decision-64-42182-r1,decision,rate,64,8,,42182,0.042177,0.0432,179.00,1072.00,1283.00,1977.00,0,0,0,209291,1:79086;2:131805
rate-decision-64-42182-r2,decision,rate,64,8,,42182,0.042179,0.0432,175.00,1008.00,1273.00,1449.00,0,0,0,209299,0:158176;1:26361;2:26362
rate-decision-64-84365-r1,decision,rate,64,8,,84365,0.084355,0.0864,864.00,1257.00,1327.00,1947.00,0,0,0,420136,0:210873;1:158159;2:52704
